trip_number,trip_date,vehicle_number,leave_time,train,route_number,direction,service_key,stop_time,arrive_time,dwell,location_id,door,lift,ons,offs,estimated_load,train_mileage,pattern_distance,location_distance,x_coordinate,y_coordinate,data_source,schedule_status
170457456,2020-10-16,2293,27909,6001,60,1,W,27780,27909,0,906,1,0,0,0,1,0,0,32.457296,-122.67056333333333,45.626173333333334,2,5
170457463,2020-10-16,2293,30109,6001,60,0,W, ,30109,0,918,0,0,0,0,6,1.6044,1.6317,148.369082,-122.67727,45.611776666666664,2,2
170457463,2020-10-16,2293,30643,6001,60,0,W,30480,30643,0,906,0,0,0,0,4,4.472,4.5254,524.489354,-122.67058833333333,45.62768833333333,2,6
170457463,2020-10-16,2293,30322,6001,60,0,W, ,30274,48,1015,1,0,1,2,4,2.3544,2.465,21.012987,-122.68462333333333,45.61243666666667,2,2
170457463,2020-10-16,2293,29922,6001,60,0,W,29820,29922,0,832,1,0,6,0,6,0,0,144.258031,-122.68551666666667,45.59576166666667,2,5
170457463,2020-10-16,2293,30193,6001,60,0,W,30120,30173,20,919,1,0,0,1,5,1.9424,2.017,45.27123,-122.68121,45.61098,2,4
170457478,2020-10-16,2293,31078,6001,60,1,W,31380,31078,0,832,1,0,0,7,0,3.0926,3.3287,52.713902,-122.68547,45.59601333333333,2,6
170457478,2020-10-16,2293,30688,6001,60,1,W, ,30660,28,908,1,0,1,1,4,0.0385,0.1877,25.835484,-122.670525,45.628548333333335,2,2
170457478,2020-10-16,2293,30643,6001,60,1,W,30480,30643,0,906,0,0,0,0,4,0,0,524.489354,-122.67058833333333,45.62768833333333,2,5
170457478,2020-10-16,2293,30762,6001,60,1,W,30720,30734,28,1132,1,0,3,0,7,0.1715,0.3275,11.115004,-122.67045,45.630515,2,4
170457484,2020-10-16,2293,33098,6001,60,0,W,32880,33098,0,919,0,0,0,0,5,1.9884,2.017,153.466731,-122.681375,45.610706666666665,2,4
170457484,2020-10-16,2293,33193,6001,60,0,W, ,33193,0,1015,0,0,0,0,5,2.3966,2.465,120.204328,-122.684455,45.61268166666667,2,2
170457484,2020-10-16,2293,33490,6001,60,0,W,33240,33490,0,906,1,0,0,0,5,4.3477,4.5254,26.00275,-122.67055,45.62618833333333,2,6
170457484,2020-10-16,2293,32770,6001,60,0,W,32580,32770,0,832,1,0,5,0,5,0,0,167.227524,-122.6855,45.59569833333333,2,5
170457484,2020-10-16,2293,32973,6001,60,0,W, ,32973,0,918,0,0,0,0,5,1.6031,1.6317,92.381806,-122.6773,45.611623333333334,2,2
170457484,2020-10-16,2293,35691,6001,60,0,W,35640,35691,0,919,0,0,0,0,5,1.9946,2.017,120.36653,-122.68133,45.610791666666664,2,4
170457484,2020-10-16,2293,36125,6001,60,0,W,36000,36125,0,906,0,0,0,0,4,4.4788,4.5254,621.533463,-122.67057666666666,45.627955,2,6
170457484,2020-10-16,2293,35359,6001,60,0,W,35340,35359,0,832,1,0,5,0,5,0,0,155.829494,-122.68552,45.59573,2,5
170457484,2020-10-16,2293,35595,6001,60,0,W, ,35595,0,918,0,0,0,0,5,1.6094,1.6317,141.374625,-122.67722666666667,45.611755,2,2
170457484,2020-10-16,2293,35785,6001,60,0,W, ,35771,14,1015,1,0,0,1,4,2.3606,2.465,66.313445,-122.68453333333333,45.612543333333335,2,2
170457484,2020-10-16,2293,39573,6001,60,0,W, ,39573,0,1015,0,0,0,0,2,2.4016,2.465,149.360954,-122.68439166666667,45.612748333333336,2,2
170457484,2020-10-16,2293,39937,6001,60,0,W,39780,39937,0,906,0,0,0,0,2,4.4614,4.5254,523.778385,-122.67057833333334,45.62768666666667,2,6
170457484,2020-10-16,2293,39367,6001,60,0,W, ,39367,0,918,0,0,0,0,2,1.605,1.6317,136.800317,-122.67727333333333,45.611745,2,2
170457484,2020-10-16,2293,39478,6001,60,0,W,39420,39478,0,919,0,0,0,0,2,1.9915,2.017,165.696422,-122.68139666666667,45.61067666666667,2,4
170457484,2020-10-16,2293,39182,6001,60,0,W,39120,39182,0,832,1,0,2,0,2,0,0,139.267511,-122.68549166666666,45.595775,2,5
170457491,2020-10-16,2293,40086,6001,60,1,W,40020,40033,53,1132,1,0,5,2,5,0.1771,0.3275,10.25203,-122.67043666666666,45.630515,2,4
170457491,2020-10-16,2293,39991,6001,60,1,W, ,39952,39,908,1,0,1,0,3,0.0447,0.1877,24.4592,-122.67052166666667,45.628545,2,2
170457491,2020-10-16,2293,40374,6001,60,1,W,40560,40374,0,832,1,0,0,4,0,3.0963,3.3287,53.66795,-122.68546,45.59601166666667,2,6
170457491,2020-10-16,2293,39937,6001,60,1,W,39780,39937,0,906,0,0,0,0,2,0,0,523.778385,-122.67057833333334,45.62768666666667,2,5
170457497,2020-10-16,2293,45980,6001,60,0,W,45840,45980,0,906,0,0,0,0,1,3.0391,2.9963,642.209485,-122.67058,45.628011666666666,2,6
170457497,2020-10-16,2293,45608,6001,60,0,W,45300,45608,0,832,1,0,1,0,1,0,0,142.946527,-122.685505,45.595765,2,5
170457513,2020-10-16,2293,46584,6001,60,1,W,46380,46558,26,986,1,0,0,0,10,2.0748,2.2972,29.421569,-122.68116333333333,45.611018333333334,2,4
170457513,2020-10-16,2293,45980,6001,60,1,W,45840,45980,0,906,0,0,0,0,1,0,0,642.209485,-122.67058,45.628011666666666,2,5
170457513,2020-10-16,2293,46280,6001,60,1,W,46080,46088,192,1132,1,1,9,1,10,0.1491,0.3275,19.952577,-122.67043666666666,45.63048833333333,2,4
170457513,2020-10-16,2293,46695,6001,60,1,W, ,46678,17,1015,1,0,1,1,10,2.4873,2.7452,32.270224,-122.68470833333333,45.612305,2,2
170457513,2020-10-16,2293,46047,6001,60,1,W, ,45988,59,908,1,0,2,1,2,0.0162,0.1877,27.843249,-122.67053666666666,45.628545,2,2
170457513,2020-10-16,2293,46951,6001,60,1,W,46800,46951,0,832,1,0,0,7,3,4.0377,4.3782,56.898672,-122.68547166666667,45.596001666666666,2,6
170457513,2020-10-16,2293,51427,6001,60,1,W,51300,51427,0,906,0,0,0,0,12,0,0,684.03365,-122.67056833333334,45.62812666666667,2,5
170457513,2020-10-16,2293,51458,6001,60,1,W, ,51435,23,908,1,0,1,3,10,0.018,0.1877,24.059571,-122.670525,45.62853833333333,2,2
170457513,2020-10-16,2293,52258,6001,60,1,W,52260,52258,0,832,1,0,0,7,0,4.0296,4.3782,17.561922,-122.68542833333333,45.59617166666666,2,6
170457513,2020-10-16,2293,51993,6001,60,1,W, ,51962,31,1015,1,0,4,1,7,2.4898,2.7452,31.119325,-122.68470833333333,45.61230833333333,2,2
170457513,2020-10-16,2293,51548,6001,60,1,W,51540,51498,50,1132,1,0,0,3,7,0.151,0.3275,15.132063,-122.67043833333334,45.63050166666667,2,4
170457513,2020-10-16,2293,51875,6001,60,1,W,51840,51819,56,986,1,0,1,2,6,2.0791,2.2972,67.573095,-122.68125,45.610925,2,4
170457513,2020-10-16,2293,55380,6001,60,1,W,55020,55380,0,832,1,0,0,5,0,4.18,4.3782,56.489081,-122.685465,45.596003333333336,2,6
170457513,2020-10-16,2293,54376,6001,60,1,W,54060,54376,0,906,1,0,0,0,7,0,0,17.330052,-122.67054833333333,45.626216666666664,2,5
170457513,2020-10-16,2293,54565,6001,60,1,W,54300,54507,58,1132,1,0,2,4,3,0.2896,0.3275,9.286549,-122.67046166666667,45.63055833333333,2,4
170457513,2020-10-16,2293,55142,6001,60,1,W, ,55125,17,1015,1,0,1,0,6,2.629,2.7452,27.214988,-122.684695,45.612316666666665,2,2
170457513,2020-10-16,2293,54470,6001,60,1,W, ,54432,38,908,1,0,1,1,7,0.1566,0.1877,22.898167,-122.67052,45.62853833333333,2,2
170457513,2020-10-16,2293,55030,6001,60,1,W,54600,54853,177,986,1,1,6,3,5,2.2171,2.2972,18.471725,-122.68116,45.611048333333336,2,4
170457513,2020-10-16,2293,57055,6001,60,1,W,57000,56684,371,1132,1,1,2,4,2,0.2889,0.3275,19.966546,-122.67042833333333,45.63048833333333,2,4
170457513,2020-10-16,2293,56641,6001,60,1,W, ,56611,30,908,1,0,0,7,1,0.1566,0.1877,25.652709,-122.67052833333334,45.62854333333333,2,2
170457513,2020-10-16,2293,57346,6001,60,1,W,57300,57308,38,986,1,0,2,0,6,2.2164,2.2972,60.78,-122.68125,45.610945,2,4
170457513,2020-10-16,2293,57713,6001,60,1,W,57720,57713,0,832,1,0,0,6,0,4.18,4.3782,53.065731,-122.68548166666666,45.59601166666667,2,6
170457513,2020-10-16,2293,56556,6001,60,1,W,56760,56556,0,906,1,0,0,0,7,0,0,7.517017,-122.67052333333334,45.626265,2,5
170457513,2020-10-16,2293,57445,6001,60,1,W, ,57431,14,1015,1,0,0,1,5,2.6284,2.7452,29.432825,-122.68470166666667,45.61231166666666,2,2
170457513,2020-10-16,2293,59479,6001,60,1,W,59460,59479,0,906,0,0,0,0,8,0,0,674.314793,-122.67056833333334,45.6281,2,5
170457513,2020-10-16,2293,60107,6001,60,1,W,60000,60066,41,986,1,0,1,3,5,2.0766,2.2972,57.169566,-122.68120166666667,45.610945,2,4
170457513,2020-10-16,2293,59514,6001,60,1,W, ,59485,29,908,1,0,2,2,8,0.0068,0.1877,41.326874,-122.67053166666666,45.628416666666666,2,2
170457513,2020-10-16,2293,59745,6001,60,1,W,59700,59555,190,1132,1,0,6,4,7,0.1485,0.3275,13.513188,-122.67044333333334,45.63050666666667,2,4
170457513,2020-10-16,2293,60436,6001,60,1,W,60420,60436,0,832,1,0,0,4,0,4.0284,4.3782,18.712062,-122.68542833333333,45.59618,2,6
170457513,2020-10-16,2293,60217,6001,60,1,W, ,60217,0,1015,0,0,0,0,5,2.5246,2.7452,115.635447,-122.68446166666666,45.61267,2,2
170457547,2020-10-16,2293,61354,6001,60,0,W,61500,61354,0,832,1,0,10,0,10,0,0,103.426556,-122.68549833333333,45.59587333333333,2,5
170457547,2020-10-16,2293,61916,6001,60,0,W,62220,61916,0,906,1,0,0,2,8,2.9099,2.9963,26.646761,-122.670605,45.62625,2,6
170457557,2020-10-16,2293,63343,6001,60,1,W,63180,63343,0,832,1,0,0,4,0,4.1713,4.3782,17.018761,-122.68543333333334,45.596176666666665,2,6
170457557,2020-10-16,2293,62030,6001,60,1,W, ,61995,35,908,1,0,0,2,8,0.1547,0.1877,25.564896,-122.67053333333334,45.628535,2,2
170457557,2020-10-16,2293,62557,6001,60,1,W,62460,62070,487,1132,1,1,8,9,8,0.2877,0.3275,23.766551,-122.67049666666666,45.63059,2,4
170457557,2020-10-16,2293,62868,6001,60,1,W,62760,62836,32,986,1,0,0,4,4,2.2177,2.2972,61.841158,-122.68123666666666,45.61093833333334,2,4
170457557,2020-10-16,2293,63093,6001,60,1,W, ,62953,140,1015,1,1,2,2,4,2.6303,2.7452,25.998764,-122.68471333333333,45.612325,2,2
170457557,2020-10-16,2293,61944,6001,60,1,W,62220,61944,0,906,1,0,2,0,10,0,0,27.076495,-122.67060666666667,45.62625166666667,2,5
170457592,2020-10-16,2293,64847,6001,60,0,W,64860,64847,0,906,1,0,0,1,5,2.918,2.9963,18.130569,-122.67054166666667,45.62621,2,6
